origin,sale_time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
1,00h,9,12,11,6.42,4.85
1,01h,3,5,1,1.85,1.92
1,02h,1,0,0,0.28,0.82
1,03h,1,0,0,0.42,0.46
1,04h,0,0,1,0.42,0.21
1,05h,1,1,2,1.28,0.75
1,06h,1,1,5,2.85,2.28
1,07h,2,3,9,5.57,5.21
1,08h,0,1,18,8.71,10.42
1,09h,2,9,30,20.0,19.07
1,10h,55,51,45,29.42,28.35
1,11h,36,44,38,33.71,28.5
1,12h,51,39,39,27.57,25.42
1,13h,36,41,43,25.85,24.21
1,14h,32,35,36,26.14,25.21
1,15h,51,35,49,28.14,27.71
1,16h,41,36,48,27.71,25.64
1,17h,45,30,29,20.42,22.28
1,18h,32,25,25,21.57,18.28
1,19h,33,39,42,22.14,18.67
1,20h,25,24,34,17.42,18.92
1,21h,30,35,34,18.71,17.57
1,22h,28,29,23,15.42,15.64
1,23h,11,28,10,9.57,8.75
2,00h,6,9,5,5.0,4.92
2,01h,3,3,2,2.0,1.92
2,02h,3,1,2,0.42,0.75
2,03h,0,1,1,0.42,0.46
2,04h,0,0,0,0.14,0.21
2,05h,2,1,1,0.71,0.71
2,06h,3,1,2,1.42,2.10
2,07h,10,2,9,3.0,5.03
2,08h,25,0,12,3.71,9.82
2,09h,36,2,27,10.14,17.64
2,10h,43,55,42,26.14,28.57
2,11h,44,36,47,25.0,28.28
2,12h,46,51,46,24.0,25.89
2,13h,45,36,31,20.28,24.17
2,14h,19,32,35,19.57,24.89
2,15h,0,51,42,22.427,27.78
2,16h,0,41,36,21.57,25.53
2,17h,0,45,19,17.71,22.67
2,18h,13,32,29,16.85,18.46
2,19h,32,33,29,18.0,18.21
2,20h,23,25,17,12.14,18.53
2,21h,28,30,23,14.85,17.82
2,22h,29,28,17,12.71,15.5
2,23h,17,11,14,8.28,8.75
